GPU Memory Track | 06-Jun-22-15:40:23 | Total Tensor Used Memory:0.0    Mb Total Allocated Memory:0.0    Mb


At JTVAE/fast_molvae/jtnnvae_train.py line 76: <module> Total Tensor Used Memory:0.0    Mb Total Allocated Memory:0.0    Mb

+ | 1 * Size:(450, 40)            | Memory: 0.0686 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 67: encode Total Tensor Used Memory:90.2   Mb Total Allocated Memory:93.9   Mb

+ | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(879, 1)             | Memory: 0.0033 M | <class 'torch.Tensor'> | torch.float32
+ | 80 * Size:(879, 450)           | Memory: 120.71 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(879,)               | Memory: 0.0134 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(471, 4)             | Memory: 0.0143 M | <class 'torch.Tensor'> | torch.int64
+ | 20 * Size:(2637, 450)          | Memory: 90.534 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(471, 450)           | Memory: 0.8085 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(879, 482)           | Memory: 3.2324 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(471, 932)           | Memory: 1.6745 M | <class 'torch.Tensor'> | torch.float32
+ | 19 * Size:(2637,)              | Memory: 0.3822 M | <class 'torch.Tensor'> | torch.int64
+ | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 1 * Size:(471,)               | Memory: 0.0035 M | <class 'torch.Tensor'> | torch.int64
+ | 40 * Size:(879, 932)           | Memory: 125.00 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(1884,)              | Memory: 0.0143 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(879, 3)             | Memory: 0.0201 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(32, 450)            | Memory: 0.0549 M | <class 'torch.Tensor'> | torch.float32
+ | 39 * Size:(879, 3, 450)        | Memory: 176.54 M | <class 'torch.Tensor'> | torch.float32
- | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.Tensor'> | torch.float32
- | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.nn.parameter.Parameter'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 69: encode Total Tensor Used Memory:609.3  Mb Total Allocated Memory:531.9  Mb


At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 71: encode Total Tensor Used Memory:609.3  Mb Total Allocated Memory:531.9  Mb

+ | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 1 * Size:(726, 521)           | Memory: 1.4428 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(9282,)              | Memory: 0.1416 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(4356,)              | Memory: 0.0332 M | <class 'torch.Tensor'> | torch.int64
+ | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(1547, 6)            | Memory: 0.0708 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(1547, 82)           | Memory: 0.4839 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(32, 450)            | Memory: 0.1098 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(1547, 450)          | Memory: 5.3112 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(726, 6)             | Memory: 0.0332 M | <class 'torch.Tensor'> | torch.int64
- | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(32, 450)            | Memory: 0.0549 M | <class 'torch.Tensor'> | torch.float32
- | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.nn.parameter.Parameter'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 73: encode Total Tensor Used Memory:616.9  Mb Total Allocated Memory:548.7  Mb

+ | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.Tensor'> | torch.float32
+ | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 1 * Size:(879, 1)             | Memory: 0.0033 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(9282,)              | Memory: 0.1416 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(4356,)              | Memory: 0.0332 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(726, 521)           | Memory: 1.4428 M | <class 'torch.Tensor'> | torch.float32
- | 20 * Size:(2637, 450)          | Memory: 90.534 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(32, 450)            | Memory: 0.1098 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(1547, 450)          | Memory: 5.3112 M | <class 'torch.Tensor'> | torch.float32
- | 19 * Size:(2637,)              | Memory: 0.3822 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(879, 3)             | Memory: 0.0201 M | <class 'torch.Tensor'> | torch.int64
- | 39 * Size:(879, 3, 450)        | Memory: 176.54 M | <class 'torch.Tensor'> | torch.float32
- | 80 * Size:(879, 450)           | Memory: 120.71 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(1547, 82)           | Memory: 0.4839 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(726, 6)             | Memory: 0.0332 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(471,)               | Memory: 0.0035 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(1884,)              | Memory: 0.0143 M | <class 'torch.Tensor'> | torch.int64
- | 2 * Size:(879,)               | Memory: 0.0134 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(471, 4)             | Memory: 0.0143 M | <class 'torch.Tensor'> | torch.int64
- | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(1547, 6)            | Memory: 0.0708 M | <class 'torch.Tensor'> | torch.int64
- | 2 * Size:(879, 482)           | Memory: 3.2324 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(471, 450)           | Memory: 0.8085 M | <class 'torch.Tensor'> | torch.float32
- | 40 * Size:(879, 932)           | Memory: 125.00 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(471, 932)           | Memory: 1.6745 M | <class 'torch.Tensor'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 67: encode Total Tensor Used Memory:90.2   Mb Total Allocated Memory:93.9   Mb

+ | 1 * Size:(32, 450)            | Memory: 0.0549 M | <class 'torch.Tensor'> | torch.float32
+ | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(821,)               | Memory: 0.0125 M | <class 'torch.Tensor'> | torch.int64
+ | 39 * Size:(821, 3, 450)        | Memory: 164.89 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(821, 3)             | Memory: 0.0187 M | <class 'torch.Tensor'> | torch.int64
+ | 40 * Size:(821, 932)           | Memory: 116.75 M | <class 'torch.Tensor'> | torch.float32
+ | 19 * Size:(2463,)              | Memory: 0.3570 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(821, 1)             | Memory: 0.0031 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(1768,)              | Memory: 0.0134 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(442,)               | Memory: 0.0033 M | <class 'torch.Tensor'> | torch.int64
+ | 80 * Size:(821, 450)           | Memory: 112.74 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(442, 932)           | Memory: 1.5714 M | <class 'torch.Tensor'> | torch.float32
+ | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 1 * Size:(442, 4)             | Memory: 0.0134 M | <class 'torch.Tensor'> | torch.int64
+ | 20 * Size:(2463, 450)          | Memory: 84.560 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(821, 482)           | Memory: 3.0191 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(442, 450)           | Memory: 0.7587 M | <class 'torch.Tensor'> | torch.float32
- | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.Tensor'> | torch.float32
- | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.nn.parameter.Parameter'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 69: encode Total Tensor Used Memory:575.1  Mb Total Allocated Memory:503.8  Mb


At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 71: encode Total Tensor Used Memory:575.1  Mb Total Allocated Memory:503.8  Mb

+ | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 1 * Size:(4344,)              | Memory: 0.0331 M | <class 'torch.Tensor'> | torch.int64
+ | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(32, 450)            | Memory: 0.1098 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(9330,)              | Memory: 0.1423 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(724, 6)             | Memory: 0.0331 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(1555, 6)            | Memory: 0.0711 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(724, 521)           | Memory: 1.4389 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(1555, 450)          | Memory: 5.3386 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(1555, 82)           | Memory: 0.4864 M | <class 'torch.Tensor'> | torch.float32
- | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(32, 450)            | Memory: 0.0549 M | <class 'torch.Tensor'> | torch.float32
- | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.nn.parameter.Parameter'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 73: encode Total Tensor Used Memory:582.7  Mb Total Allocated Memory:520.6  Mb

+ | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.Tensor'> | torch.float32
+ | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 80 * Size:(821, 450)           | Memory: 112.74 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(9330,)              | Memory: 0.1423 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(442, 4)             | Memory: 0.0134 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(442, 932)           | Memory: 1.5714 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(821, 482)           | Memory: 3.0191 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(821,)               | Memory: 0.0125 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(4344,)              | Memory: 0.0331 M | <class 'torch.Tensor'> | torch.int64
- | 2 * Size:(32, 450)            | Memory: 0.1098 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(724, 6)             | Memory: 0.0331 M | <class 'torch.Tensor'> | torch.int64
- | 20 * Size:(2463, 450)          | Memory: 84.560 M | <class 'torch.Tensor'> | torch.float32
- | 19 * Size:(2463,)              | Memory: 0.3570 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(821, 1)             | Memory: 0.0031 M | <class 'torch.Tensor'> | torch.float32
- | 40 * Size:(821, 932)           | Memory: 116.75 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(442,)               | Memory: 0.0033 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(1555, 6)            | Memory: 0.0711 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(724, 521)           | Memory: 1.4389 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(1555, 450)          | Memory: 5.3386 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(442, 450)           | Memory: 0.7587 M | <class 'torch.Tensor'> | torch.float32
- | 39 * Size:(821, 3, 450)        | Memory: 164.89 M | <class 'torch.Tensor'> | torch.float32
- | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(1768,)              | Memory: 0.0134 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(821, 3)             | Memory: 0.0187 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(1555, 82)           | Memory: 0.4864 M | <class 'torch.Tensor'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 67: encode Total Tensor Used Memory:90.2   Mb Total Allocated Memory:93.9   Mb

+ | 39 * Size:(833, 4, 450)        | Memory: 223.07 M | <class 'torch.Tensor'> | torch.float32
+ | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(32, 450)            | Memory: 0.0549 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(448,)               | Memory: 0.0034 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(448, 450)           | Memory: 0.7690 M | <class 'torch.Tensor'> | torch.float32
+ | 40 * Size:(833, 932)           | Memory: 118.46 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(833,)               | Memory: 0.0127 M | <class 'torch.Tensor'> | torch.int64
+ | 19 * Size:(3332,)              | Memory: 0.4830 M | <class 'torch.Tensor'> | torch.int64
+ | 80 * Size:(833, 450)           | Memory: 114.39 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(2240,)              | Memory: 0.0170 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(448, 5)             | Memory: 0.0170 M | <class 'torch.Tensor'> | torch.int64
+ | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 20 * Size:(3332, 450)          | Memory: 114.39 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(833, 1)             | Memory: 0.0031 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(833, 4)             | Memory: 0.0254 M | <class 'torch.Tensor'> | torch.int64
+ | 2 * Size:(833, 482)           | Memory: 3.0632 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(448, 932)           | Memory: 1.5927 M | <class 'torch.Tensor'> | torch.float32
- | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.Tensor'> | torch.float32
- | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.nn.parameter.Parameter'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 69: encode Total Tensor Used Memory:666.6  Mb Total Allocated Memory:563.8  Mb


At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 71: encode Total Tensor Used Memory:666.6  Mb Total Allocated Memory:563.8  Mb

+ | 1 * Size:(4602,)              | Memory: 0.0351 M | <class 'torch.Tensor'> | torch.int64
+ | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 2 * Size:(9966,)              | Memory: 0.1520 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(767, 521)           | Memory: 1.5243 M | <class 'torch.Tensor'> | torch.float32
+ | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(1661, 82)           | Memory: 0.5195 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(32, 450)            | Memory: 0.1098 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(767, 6)             | Memory: 0.0351 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(1661, 6)            | Memory: 0.0760 M | <class 'torch.Tensor'> | torch.int64
+ | 2 * Size:(1661, 450)          | Memory: 5.7025 M | <class 'torch.Tensor'> | torch.float32
- | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(32, 450)            | Memory: 0.0549 M | <class 'torch.Tensor'> | torch.float32
- | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.nn.parameter.Parameter'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 73: encode Total Tensor Used Memory:674.8  Mb Total Allocated Memory:581.7  Mb

+ | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.Tensor'> | torch.float32
+ | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 1 * Size:(448, 450)           | Memory: 0.7690 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(767, 521)           | Memory: 1.5243 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(1661, 82)           | Memory: 0.5195 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(1661, 6)            | Memory: 0.0760 M | <class 'torch.Tensor'> | torch.int64
- | 2 * Size:(833, 482)           | Memory: 3.0632 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(448, 932)           | Memory: 1.5927 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(32, 450)            | Memory: 0.1098 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(1661, 450)          | Memory: 5.7025 M | <class 'torch.Tensor'> | torch.float32
- | 39 * Size:(833, 4, 450)        | Memory: 223.07 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(833,)               | Memory: 0.0127 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(2240,)              | Memory: 0.0170 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(767, 6)             | Memory: 0.0351 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(4602,)              | Memory: 0.0351 M | <class 'torch.Tensor'> | torch.int64
- | 2 * Size:(9966,)              | Memory: 0.1520 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(448,)               | Memory: 0.0034 M | <class 'torch.Tensor'> | torch.int64
- | 40 * Size:(833, 932)           | Memory: 118.46 M | <class 'torch.Tensor'> | torch.float32
- | 19 * Size:(3332,)              | Memory: 0.4830 M | <class 'torch.Tensor'> | torch.int64
- | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.Tensor'> | torch.float32
- | 80 * Size:(833, 450)           | Memory: 114.39 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(448, 5)             | Memory: 0.0170 M | <class 'torch.Tensor'> | torch.int64
- | 20 * Size:(3332, 450)          | Memory: 114.39 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(833, 4)             | Memory: 0.0254 M | <class 'torch.Tensor'> | torch.int64
